ticker,date,open,high,low,close,adj close,volume
GOOG,2020-11-27,1773.09,1800.45,1772.44,1793.19,1793.19,866828
GOOG,2020-11-25,1772.89,1777.99,1756.54,1771.43,1771.43,962090
GOOG,2020-11-24,1730.5,1771.6,1728.2,1768.88,1768.88,1411072
GOOG,2020-11-23,1749.6,1753.9,1717.72,1734.86,1734.86,1928174
GOOG,2020-11-20,1765.21,1773.88,1741.86,1742.19,1742.19,1816430
GOOG,2020-11-19,1738.38,1769.32,1737.01,1763.92,1763.92,1196822
GOOG,2020-11-18,1765.23,1773.47,1746.25,1746.78,1746.78,1124848
GOOG,2020-11-17,1776.94,1785.0,1767.57,1770.15,1770.15,958974
GOOG,2020-11-16,1771.7,1799.01,1767.69,1781.38,1781.38,1134622
GOOG,2020-11-13,1757.63,1781.04,1744.66,1777.02,1777.02,1422207
GOOG,2020-11-12,1747.63,1768.27,1745.6,1749.84,1749.84,1143682
GOOG,2020-11-11,1750.0,1764.05,1747.36,1752.71,1752.71,1232460
GOOG,2020-11-10,1731.09,1762.75,1717.3,1740.39,1740.39,2494708
GOOG,2020-11-09,1790.9,1818.06,1760.02,1763.0,1763.0,2109383
GOOG,2020-11-06,1781.0,1772.16,1740.39,1761.75,1761.75,1544549
GOOG,2020-11-05,1781.0,1793.51,1750.51,1763.37,1763.37,1951969
GOOG,2020-11-04,1710.28,1661.7,1616.62,1749.13,1749.13,3460782
GOOG,2020-11-03,1631.78,1661.7,1616.62,1650.21,1650.21,1504514
GOOG,2020-11-02,1628.16,1660.67,1616.03,1626.03,1626.03,2431729
GOOG,2020-10-30,1672.11,1687.0,1604.71,1621.01,1621.01,4240031
GOOG,2020-10-29,1522.36,1593.6,1522.24,1567.24,1567.24,1555002
GOOG,2020-10-28,1559.74,1561.35,1514.62,1516.62,1516.62,1769835
GOOG,2020-10-27,1625.01,1606.84,1583.05,1604.26,1604.26,1151395
GOOG,2020-10-26,1625.01,1638.0,1576.5,1590.45,1590.45,1700941
GOOG,2020-10-23,1626.07,1642.27,1620.51,1641.0,1641.0,1280280
GOOG,2020-10-22,1593.05,1621.92,1585.0,1615.33,1615.33,1312741
GOOG,2020-10-21,1573.33,1618.49,1571.63,1593.31,1593.31,2441945
GOOG,2020-10-20,1527.05,1577.14,1526.0,1555.93,1555.93,1928766
GOOG,2020-10-19,1580.46,1588.15,1528.0,1534.61,1534.61,1457529
GOOG,2020-10-16,1565.85,1581.13,1563.0,1573.01,1573.01,1334514
GOOG,2020-10-15,1547.15,1575.1,1545.41,1559.13,1559.13,1247520
GOOG,2020-10-14,1578.59,1587.68,1550.53,1568.08,1568.08,1466696
GOOG,2020-10-13,1583.73,1590.0,1563.52,1571.68,1571.68,1513137
GOOG,2020-10-12,1543.0,1593.86,1533.71,1569.15,1569.15,2342887
GOOG,2020-10-09,1494.7,1516.52,1489.66,1515.22,1515.22,1389373
GOOG,2020-10-08,1465.09,1490.0,1465.09,1485.93,1485.93,1153958
GOOG,2020-10-07,1464.29,1468.96,1436.0,1460.29,1460.29,1632521
GOOG,2020-10-06,1475.58,1486.76,1448.59,1453.44,1453.44,1198917
GOOG,2020-10-05,1466.21,1488.21,1464.27,1486.02,1486.02,1051041
GOOG,2020-10-02,1462.03,1482.77,1450.92,1458.42,1458.42,1233053
GOOG,2020-10-01,1484.27,1498.74,1479.21,1490.09,1490.09,1650849
GOOG,2020-09-30,1466.8,1489.75,1459.88,1469.6,1469.6,1535517
GOOG,2020-09-29,1470.39,1476.66,1458.81,1469.33,1469.33,929564
GOOG,2020-09-28,1474.21,1476.8,1449.3,1464.52,1464.52,1676914
GOOG,2020-09-25,1432.63,1450.0,1413.34,1444.96,1444.96,1263946
GOOG,2020-09-24,1411.03,1442.96,1409.85,1428.29,1428.29,1432542
GOOG,2020-09-23,1458.78,1460.26,1407.7,1415.21,1415.21,1615935
GOOG,2020-09-22,1450.09,1469.52,1435.09,1465.46,1465.46,1501868
GOOG,2020-09-21,1440.06,1448.36,1406.55,1431.16,1431.16,2796258
GOOG,2020-09-18,1498.01,1502.93,1437.13,1459.99,1459.99,2956630
GOOG,2020-09-17,1496.0,1508.3,1470.0,1495.53,1495.53,1730640
GOOG,2020-09-16,1555.54,1562.0,1519.82,1520.9,1520.9,1246008
GOOG,2020-09-15,1536.0,1559.57,1531.83,1541.44,1541.44,1105176
GOOG,2020-09-14,1539.01,1564.0,1515.74,1519.28,1519.28,1577656
GOOG,2020-09-11,1536.0,1575.2,1497.36,1520.72,1520.72,1535463
GOOG,2020-09-10,1560.64,1583.93,1525.81,1532.02,1532.02,1532347
GOOG,2020-09-09,1557.53,1569.0,1536.05,1556.96,1556.96,1646390
GOOG,2020-09-08,1533.51,1563.86,1528.01,1532.39,1532.39,2529879
GOOG,2020-09-04,1624.26,1645.11,1547.61,1591.04,1591.04,2477681
GOOG,2020-09-03,1709.71,1709.71,1615.06,1641.84,1641.84,3057470
GOOG,2020-09-02,1673.78,1733.18,1666.33,1728.28,1728.28,2412033
GOOG,2020-09-01,1636.63,1665.73,1632.22,1660.71,1660.71,1788507
GOOG,2020-08-31,1647.89,1647.96,1630.31,1634.18,1634.18,1684548
GOOG,2020-08-28,1633.49,1647.17,1630.75,1643.83,1644.41,1186496
GOOG,2020-08-27,1653.68,1655.0,1625.75,1634.33,1634.33,1860300
GOOG,2020-08-26,1608.0,1659.22,1603.6,1652.38,1652.38,3993400
GOOG,2020-08-25,1582.07,1611.62,1582.07,1608.22,1608.22,2247100
GOOG,2020-08-24,1593.98,1614.17,1580.57,1588.2,1588.2,1409900
GOOG,2020-08-21,1577.03,1597.72,1568.01,1580.42,1580.42,1446500
GOOG,2020-08-20,1543.45,1585.87,1538.2,1581.75,1581.75,1706900
GOOG,2020-08-19,1553.31,1573.68,1543.95,1547.53,1547.53,1660600
GOOG,2020-08-18,1526.18,1562.47,1523.71,1558.6,1558.6,2027100
GOOG,2020-08-17,1514.67,1525.61,1507.97,1517.98,1517.98,1378300
GOOG,2020-08-14,1515.66,1521.9,1502.88,1507.73,1507.73,1354800
GOOG,2020-08-13,1510.34,1537.25,1508.01,1518.45,1518.45,1455200
GOOG,2020-08-12,1485.58,1512.39,1485.25,1506.62,1506.62,1437700
GOOG,2020-08-11,1492.44,1510.0,1478.0,1480.32,1480.32,1454400
GOOG,2020-08-10,1487.18,1504.07,1473.08,1496.1,1496.1,1289300
GOOG,2020-08-07,1500.0,1516.84,1481.64,1494.49,1494.49,1576600
GOOG,2020-08-06,1471.75,1502.39,1466.0,1500.1,1500.1,1995400
GOOG,2020-08-05,1469.3,1482.41,1463.46,1473.61,1473.61,1979500
GOOG,2020-08-04,1476.57,1485.56,1458.65,1464.97,1464.97,1903500
GOOG,2020-08-03,1486.64,1490.47,1465.64,1474.45,1474.45,2330200
GOOG,2020-07-31,1505.01,1508.95,1454.03,1482.96,1482.96,3439900
GOOG,2020-07-30,1497.0,1537.87,1492.22,1531.45,1531.45,1671400
GOOG,2020-07-29,1506.32,1531.25,1501.33,1522.02,1522.02,1106500
GOOG,2020-07-28,1525.18,1526.48,1497.66,1500.34,1500.34,1702200
GOOG,2020-07-27,1515.6,1540.97,1515.21,1530.2,1530.2,1246000
GOOG,2020-07-24,1498.93,1517.64,1488.4,1511.87,1511.87,1544000
GOOG,2020-07-23,1566.97,1571.87,1507.39,1515.68,1515.68,1627600
GOOG,2020-07-22,1560.5,1570.0,1546.1,1568.49,1568.49,932000
GOOG,2020-07-21,1586.99,1586.99,1554.28,1558.42,1558.42,1218600
GOOG,2020-07-20,1515.26,1570.29,1503.6,1565.72,1565.72,1557300
GOOG,2020-07-17,1521.62,1523.44,1498.42,1515.55,1515.55,1456700
GOOG,2020-07-16,1500.0,1518.69,1486.31,1518.0,1518.0,1519300
GOOG,2020-07-15,1523.13,1535.33,1498.0,1513.64,1513.64,1610700
GOOG,2020-07-14,1490.31,1522.95,1483.5,1520.58,1520.58,1585000
GOOG,2020-07-13,1550.0,1577.13,1505.24,1511.34,1511.34,1846400
GOOG,2020-07-10,1506.15,1543.83,1496.54,1541.74,1541.74,1856300
GOOG,2020-07-09,1506.45,1522.72,1488.08,1510.99,1510.99,1423300
GOOG,2020-07-08,1494.32,1505.88,1485.63,1496.0,1496.0,1249700
GOOG,2020-07-07,1490.0,1516.8,1483.55,1485.18,1485.18,1458200
GOOG,2020-07-06,1480.06,1506.59,1472.86,1495.7,1495.7,1564000
GOOG,2020-07-02,1446.94,1482.95,1446.42,1464.7,1464.7,1859100
GOOG,2020-07-01,1411.1,1443.0,1409.82,1438.04,1438.04,1775200
GOOG,2020-06-30,1390.44,1418.65,1383.96,1413.61,1413.61,2042400
GOOG,2020-06-29,1358.18,1395.6,1347.01,1394.97,1394.97,1810200
GOOG,2020-06-26,1431.39,1433.45,1351.99,1359.9,1359.9,4267700
GOOG,2020-06-25,1429.9,1442.9,1420.0,1441.33,1441.33,1230500
GOOG,2020-06-24,1461.51,1475.42,1429.75,1431.97,1431.97,1756000
GOOG,2020-06-23,1455.64,1475.94,1445.24,1464.41,1464.41,1429800
GOOG,2020-06-22,1429.0,1452.75,1423.21,1451.86,1451.86,1542400
GOOG,2020-06-19,1444.0,1447.8,1421.35,1431.72,1431.72,3157900
GOOG,2020-06-18,1449.16,1451.41,1427.01,1435.96,1435.96,1581900
GOOG,2020-06-17,1447.16,1460.0,1431.38,1451.12,1451.12,1548300
GOOG,2020-06-16,1445.22,1455.02,1425.9,1442.72,1442.72,1709200
GOOG,2020-06-15,1390.8,1424.8,1387.92,1419.85,1419.85,1503900
GOOG,2020-06-12,1428.49,1437.0,1386.02,1413.18,1413.18,1944200
GOOG,2020-06-11,1442.48,1454.47,1402.0,1403.84,1403.84,1991300
GOOG,2020-06-10,1459.54,1474.26,1456.27,1465.85,1465.85,1525200
GOOG,2020-06-09,1445.36,1468.0,1443.21,1456.16,1456.16,1409200
GOOG,2020-06-08,1422.34,1447.99,1422.34,1446.61,1446.61,1404200
GOOG,2020-06-05,1413.17,1445.05,1406.0,1438.39,1438.39,1734900
GOOG,2020-06-04,1430.4,1438.96,1404.73,1412.18,1412.18,1484300
GOOG,2020-06-03,1438.3,1446.55,1429.78,1436.38,1436.38,1256200
GOOG,2020-06-02,1430.55,1439.61,1418.83,1439.22,1439.22,1278100
GOOG,2020-06-01,1418.39,1437.96,1418.0,1431.82,1431.82,1217100
GOOG,2020-05-29,1416.94,1432.57,1413.35,1428.92,1428.92,1838100
GOOG,2020-05-28,1396.86,1440.84,1396.0,1416.73,1416.73,1692200
GOOG,2020-05-27,1417.25,1421.74,1391.29,1417.84,1417.84,1685800
GOOG,2020-05-26,1437.27,1441.0,1412.13,1417.02,1417.02,2060600
GOOG,2020-05-22,1396.71,1412.76,1391.83,1410.42,1410.42,1309400
GOOG,2020-05-21,1408.0,1415.49,1393.45,1402.8,1402.8,1385000
GOOG,2020-05-20,1389.58,1410.42,1387.25,1406.72,1406.72,1655400
GOOG,2020-05-19,1387.0,1392.0,1373.48,1373.48,1373.48,1280600
GOOG,2020-05-18,1361.75,1392.32,1354.25,1383.94,1383.94,1824000
GOOG,2020-05-15,1350.0,1374.48,1339.0,1373.19,1373.19,1707700
GOOG,2020-05-14,1335.02,1357.42,1323.91,1356.13,1356.13,1603100
GOOG,2020-05-13,1377.05,1385.48,1328.4,1349.33,1349.33,1812600
GOOG,2020-05-12,1407.12,1415.0,1374.77,1375.74,1375.74,1390600
GOOG,2020-05-11,1378.28,1416.53,1377.15,1403.26,1403.26,1410600
GOOG,2020-05-08,1383.13,1398.76,1375.48,1388.37,1388.37,1388100
GOOG,2020-05-07,1365.94,1377.6,1355.27,1372.56,1372.56,1397600
GOOG,2020-05-06,1361.69,1371.12,1347.29,1347.3,1347.3,1215400
GOOG,2020-05-05,1337.92,1373.94,1337.46,1351.11,1351.11,1651500
GOOG,2020-05-04,1308.23,1327.66,1299.0,1326.8,1326.8,1504000
GOOG,2020-05-01,1328.5,1352.07,1311.0,1320.61,1320.61,2072500
GOOG,2020-04-30,1324.88,1352.82,1322.49,1348.66,1348.66,2665400
GOOG,2020-04-29,1341.46,1359.99,1325.34,1341.48,1341.48,3793600
GOOG,2020-04-28,1287.93,1288.05,1232.2,1233.67,1233.67,2951300
GOOG,2020-04-27,1296.0,1296.15,1269.0,1275.88,1275.88,1600600
GOOG,2020-04-24,1261.17,1280.4,1249.45,1279.31,1279.31,1640400
GOOG,2020-04-23,1271.55,1293.31,1265.67,1276.31,1276.31,1566200
GOOG,2020-04-22,1245.54,1285.61,1242.0,1263.21,1263.21,2093100
GOOG,2020-04-21,1247.0,1254.27,1209.71,1216.34,1216.34,2153000
GOOG,2020-04-20,1271.0,1281.6,1261.37,1266.61,1266.61,1695500
GOOG,2020-04-17,1284.85,1294.43,1271.23,1283.25,1283.25,1949000
GOOG,2020-04-16,1274.1,1279.0,1242.62,1263.47,1263.47,2518100
GOOG,2020-04-15,1245.61,1280.46,1240.4,1262.47,1262.47,1671700
GOOG,2020-04-14,1245.09,1282.07,1236.93,1269.23,1269.23,2470400
GOOG,2020-04-13,1209.18,1220.51,1187.6,1217.56,1217.56,1739800
GOOG,2020-04-09,1224.08,1225.57,1196.73,1211.45,1211.45,2175400
GOOG,2020-04-08,1206.5,1219.07,1188.16,1210.28,1210.28,1975100
GOOG,2020-04-07,1221.0,1225.0,1182.23,1186.51,1186.51,2387300
GOOG,2020-04-06,1138.0,1194.66,1130.94,1186.92,1186.92,2664700
GOOG,2020-04-03,1119.02,1123.54,1079.81,1097.88,1097.88,2313400
GOOG,2020-04-02,1098.26,1126.86,1096.4,1120.84,1120.84,1964900
GOOG,2020-04-01,1122.0,1129.69,1097.45,1105.62,1105.62,2344200
GOOG,2020-03-31,1147.3,1175.31,1138.14,1162.81,1162.81,2486400
GOOG,2020-03-30,1125.04,1151.63,1096.48,1146.82,1146.82,2574100
GOOG,2020-03-27,1125.67,1150.67,1105.91,1110.71,1110.71,3208500
GOOG,2020-03-26,1111.8,1169.97,1093.53,1161.75,1161.75,3571700
GOOG,2020-03-25,1126.47,1148.9,1086.01,1102.49,1102.49,4081500
GOOG,2020-03-24,1103.77,1135.0,1090.62,1134.46,1134.46,3344500
GOOG,2020-03-23,1061.32,1071.32,1013.54,1056.62,1056.62,4044100
GOOG,2020-03-20,1135.72,1143.99,1065.49,1072.32,1072.32,3601800
GOOG,2020-03-19,1093.05,1157.97,1060.11,1115.29,1115.29,3651100
GOOG,2020-03-18,1056.51,1106.5,1037.28,1096.8,1096.8,4233400
GOOG,2020-03-17,1093.11,1130.86,1056.01,1119.8,1119.8,3861500
GOOG,2020-03-16,1096.0,1152.27,1074.44,1084.33,1084.33,4252400
GOOG,2020-03-13,1179.0,1219.76,1117.14,1219.73,1219.73,3700100
GOOG,2020-03-12,1126.0,1193.87,1113.3,1114.91,1114.91,4226700
GOOG,2020-03-11,1249.7,1260.96,1196.07,1215.41,1215.41,2608500
GOOG,2020-03-10,1260.0,1281.15,1218.77,1280.39,1280.39,2611400
GOOG,2020-03-09,1205.3,1254.76,1200.0,1215.56,1215.56,3365400
GOOG,2020-03-06,1277.06,1306.22,1261.05,1298.41,1298.41,2660600
GOOG,2020-03-05,1350.2,1358.91,1305.1,1319.04,1319.04,2561300
GOOG,2020-03-04,1359.23,1388.09,1343.11,1386.52,1386.52,1913300
